url,type,old_status,new_status,action,old_title,new_title,old_description,new_description,old_h1_count,new_h1_count,new_canonical
/product/cardboard-coffee-sleeves/,product,200,200,"migrated, URL unchanged",Cardboard Coffee Sleeves For Hot Cups | Cardboard Cups,Cardboard Coffee Sleeves For Hot Cups | Cardboard Cups,"Cardboard coffee sleeves for hot cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.","Cardboard coffee sleeves for hot cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.",3,1,https://cardboardcups.com/product/cardboard-coffee-sleeves/
/product/cardboard-cup-sleeves/,product,200,200,"migrated, URL unchanged",Cardboard Cup Sleeves | Heat Grip Sleeves | Cardboard Cups,Cardboard Cup Sleeves | Heat Grip Sleeves | Cardboard Cups,Hot drink cup sleeves made from sturdy paperboard to support grip and comfort in hand. Print options at Cardboard Cups with free delivery and custom design.,Hot drink cup sleeves made from sturdy paperboard to support grip and comfort in hand. Print options at Cardboard Cups with free delivery and custom design.,3,1,https://cardboardcups.com/product/cardboard-cup-sleeves/
/product/cardboard-cupcake-cups/,product,200,200,"migrated, URL unchanged",Cardboard Cupcake Cups | Baking Cups | Cardboard Cups,Cardboard Cupcake Cups | Baking Cups | Cardboard Cups,"Cardboard cupcake cups made with food contact paperboard for baking and clean presentation, with size options and print support from Cardboard Cups.","Cardboard cupcake cups made with food contact paperboard for baking and clean presentation, with size options and print support from Cardboard Cups.",3,1,https://cardboardcups.com/product/cardboard-cupcake-cups/
/product/cardboard-cups-for-food/,product,200,200,"migrated, URL unchanged",Cardboard Cups For Food | Portion Cups | Cardboard Cups,Cardboard Cups For Food | Portion Cups | Cardboard Cups,"Cardboard Cups For Food designed for safe serving of snacks and meals. Includes free delivery, custom quote, and custom design.","Cardboard Cups For Food designed for safe serving of snacks and meals. Includes free delivery, custom quote, and custom design.",3,1,https://cardboardcups.com/product/cardboard-cups-for-food/
/product/cardboard-cups-for-hot-drinks/,product,200,200,"migrated, URL unchanged",Cardboard Cups For Hot Drinks | Sizes & Linings | Cardboard Cups,Cardboard Cups For Hot Drinks | Sizes & Linings | Cardboard Cups,"Cardboard cups for hot drinks to go in sizes with food safe board, heat-safe linings and print options for cafés and shops.","Cardboard cups for hot drinks to go in sizes with food safe board, heat-safe linings and print options for cafés and shops.",3,1,https://cardboardcups.com/product/cardboard-cups-for-hot-drinks/
/product/cardboard-milkshake-cups/,product,200,200,"migrated, URL unchanged",Cardboard Milkshake Cups | Cold Drink Sizes | Cardboard Cups,Cardboard Milkshake Cups | Cold Drink Sizes | Cardboard Cups,"Cardboard milkshake cups for thick cold drinks with moisture barrier options, stable rims, and lid and straw fit standards for takeaway use.","Cardboard milkshake cups for thick cold drinks with moisture barrier options, stable rims, and lid and straw fit standards for takeaway use.",3,1,https://cardboardcups.com/product/cardboard-milkshake-cups/
/product/cardboard-muffin-cups/,product,200,200,"migrated, URL unchanged",Cardboard Muffin Cups For Bakeries | Cardboard Cups,Cardboard Muffin Cups For Bakeries | Cardboard Cups,"Cardboard Muffin Cups for safe baking and neat display. Get custom design, custom quote, food safe material, and free delivery in USA.","Cardboard Muffin Cups for safe baking and neat display. Get custom design, custom quote, food safe material, and free delivery in USA.",3,1,https://cardboardcups.com/product/cardboard-muffin-cups/
/product/cardboard-mugs/,product,200,200,"migrated, URL unchanged",Cardboard Mugs For Hot Drinks | Cardboard Cups,Cardboard Mugs For Hot Drinks | Cardboard Cups,"Cardboard mugs for coffee, tea, events, and takeaway service. Get custom design, custom quote, print options, and free delivery in USA.","Cardboard mugs for coffee, tea, events, and takeaway service. Get custom design, custom quote, print options, and free delivery in USA.",3,1,https://cardboardcups.com/product/cardboard-mugs/
/product/cardboard-soup-cups/,product,200,200,"migrated, URL unchanged",Cardboard Soup Cups | Hot Liquid Food Cups | Cardboard Cups,Cardboard Soup Cups | Hot Liquid Food Cups | Cardboard Cups,"Cardboard Soup Cups for takeaway and dine in use, built to handle heat and liquids. Get free delivery, custom quote, and custom design options.","Cardboard Soup Cups for takeaway and dine in use, built to handle heat and liquids. Get free delivery, custom quote, and custom design options.",3,1,https://cardboardcups.com/product/cardboard-soup-cups/
/product/cardboard-tea-cups/,product,200,200,"migrated, URL unchanged",Cardboard Tea Cups For Hot Drinks | Cardboard Cups,Cardboard Tea Cups For Hot Drinks | Cardboard Cups,"Cardboard tea cups for black tea, herbal tea, milk tea, cafes, events, and takeaway service with custom design, custom quote, and free delivery in USA.","Cardboard tea cups for black tea, herbal tea, milk tea, cafes, events, and takeaway service with custom design, custom quote, and free delivery in USA.",3,1,https://cardboardcups.com/product/cardboard-tea-cups/
/product/christmas-cardboard-cups/,product,200,200,"migrated, URL unchanged",Christmas Cardboard Cups For Hot Drinks | Cardboard Cups,Christmas Cardboard Cups For Hot Drinks | Cardboard Cups,"Christmas cardboard cups for hot drinks, cafes, events, and takeaway service with custom design, custom quote, festive print, and free delivery in USA.","Christmas cardboard cups for hot drinks, cafes, events, and takeaway service with custom design, custom quote, festive print, and free delivery in USA.",3,1,https://cardboardcups.com/product/christmas-cardboard-cups/
/product/corrugated-paper-cups/,product,200,200,"migrated, URL unchanged",Corrugated Paper Cups | Insulated Drink Cups | Cardboard Cups,Corrugated Paper Cups | Insulated Drink Cups | Cardboard Cups,"Corrugated paper cups with improved grip and reduced heat feel, built with strong rim forming for hot beverage service at Cardboard Cups.","Corrugated paper cups with improved grip and reduced heat feel, built with strong rim forming for hot beverage service at Cardboard Cups.",3,1,https://cardboardcups.com/product/corrugated-paper-cups/
/product/disposable-cardboard-cups/,product,200,200,"migrated, URL unchanged",Disposable Cardboard Cups For Drinks | Cardboard Cups,Disposable Cardboard Cups For Drinks | Cardboard Cups,"Disposable cardboard cups for water, juice, coffee, tea, samples, and events with custom design, custom quote, print options, and free delivery in USA.","Disposable cardboard cups for water, juice, coffee, tea, samples, and events with custom design, custom quote, print options, and free delivery in USA.",3,1,https://cardboardcups.com/product/disposable-cardboard-cups/
/product/small-cardboard-cups/,product,200,200,"migrated, URL unchanged",Small Cardboard Cups For Drinks | Cardboard Cups,Small Cardboard Cups For Drinks | Cardboard Cups,"Small cardboard cups for espresso, samples, water, sauces, and events. Get custom design, custom quote, print options, and free delivery in USA.","Small cardboard cups for espresso, samples, water, sauces, and events. Get custom design, custom quote, print options, and free delivery in USA.",3,1,https://cardboardcups.com/product/small-cardboard-cups/
/product/white-cardboard-cups/,product,200,200,"migrated, URL unchanged",White Cardboard Cups | Clean Print Cup Style | Cardboard Cups,White Cardboard Cups | Clean Print Cup Style | Cardboard Cups,"White cardboard cups made with food contact paperboard and a smooth print surface, supported by inner barrier lining and strong rim forming for hot drinks.","White cardboard cups made with food contact paperboard and a smooth print surface, supported by inner barrier lining and strong rim forming for hot drinks.",3,1,https://cardboardcups.com/product/white-cardboard-cups/
/shop/,page,-,200,migrated,,Shop - Cardboard Cups,,"Browse the full Cardboard Cups range — cup types, cup sleeves and baking cups. Custom printing, bulk quantities and free quotes on every product.",0,1,https://cardboardcups.com/shop/
/terms-conditions/,page,200,200,"migrated, URL unchanged",Terms Conditions - Cardboard Cups,Terms Conditions - Cardboard Cups,,"The terms and conditions covering website use, quotations, custom orders, shipping, returns and liability when ordering from Cardboard Cups.",1,1,https://cardboardcups.com/terms-conditions/
